post_id,published_date,platform,topic,content_type,text,sentiment_score,sentiment_label,reach,likes,comments,shares,saves,engagement_rate
1,2026-05-14,Facebook,small business,carousel,confusing user journey for small business #smallbusiness,-1,Negative,1150,57,22,16,11,9.22
2,2026-07-22,TikTok,ecommerce,text,fast mobile money growth for ecommerce #ecommerce,2,Positive,1426,121,6,18,20,11.57
3,2026-09-11,Instagram,personal finance,video,new campaign update for personal finance #personalfinance,0,Neutral,1479,87,30,35,11,11.02
4,2026-08-28,TikTok,small business,text,product feature overview for small business #smallbusiness,0,Neutral,1216,33,17,6,12,5.59
5,2026-01-20,Instagram,data analytics,text,clear financial education for data analytics #dataanalytics,1,Positive,1193,60,18,9,21,9.05
6,2026-09-08,LinkedIn,fintech,carousel,clear financial education for fintech #fintech,1,Positive,1263,44,15,27,19,8.31
7,2026-02-04,Instagram,fintech,short,simple dashboard insights for fintech #fintech,1,Positive,2024,118,27,34,5,9.09
8,2026-07-20,Facebook,fintech,text,slow support problem for fintech #fintech,-2,Negative,422,17,8,3,7,8.29
9,2026-05-28,TikTok,marketing,text,clear financial education for marketing #marketing,1,Positive,1268,38,23,6,15,6.47
10,2026-02-22,LinkedIn,personal finance,video,brand awareness post for personal finance #personalfinance,0,Neutral,1289,67,24,35,14,10.86
11,2026-06-11,Facebook,small business,carousel,brand awareness post for small business #smallbusiness,0,Neutral,1019,51,14,18,16,9.72
12,2026-02-06,Facebook,data analytics,video,simple dashboard insights for data analytics #dataanalytics,1,Positive,1279,78,27,10,8,9.62
13,2026-04-27,TikTok,fintech,text,slow support problem for fintech #fintech,-2,Negative,848,62,3,2,12,9.32
14,2026-03-12,Facebook,mobile money,video,fast mobile money growth for mobile money #mobilemoney,2,Positive,1387,84,15,29,18,10.53
15,2026-05-26,Facebook,fintech,video,fast mobile money growth for fintech #fintech,2,Positive,1403,122,18,38,7,13.19
16,2026-05-31,Facebook,data analytics,text,new campaign update for data analytics #dataanalytics,0,Neutral,682,60,9,6,7,12.02
17,2026-02-14,Instagram,ecommerce,text,smart data analytics for ecommerce #ecommerce,1,Positive,953,61,10,13,5,9.34
